city,state,population
New York,NY,8537673
Los Angeles,CA,3976322
Chicago,IL,2704958
Houston,TX,2303482
Phoenix,AZ,1615017
Philadelphia,PA,1567872
San Antonio,TX,1492510
San Diego,CA,1406630
Dallas,TX,1317929
San Jose,CA,1025350
Austin,TX,947890
Jacksonville,FL,880619
San Francisco,CA,870887
Columbus,OH,860090
Indianapolis,IN,855164
Fort Worth,TX,854113
Charlotte,NC,842051
Seattle,WA,704352
Denver,CO,693060
El Paso,TX,683080
Washington,DC,681170
Boston,MA,673184
Detroit,MI,672795
Nashville,TN,660388
Memphis,TN,652717
Portland,OR,639863
Oklahoma City,OK,638367
Las Vegas,NV,632912
Louisville,KY,616261
Baltimore,MD,614664
Milwaukee,WI,595047
Albuquerque,NM,559277
Tucson,AZ,530706
Fresno,CA,522053
Sacramento,CA,495234
Mesa,AZ,484587
Kansas City,MO,481420
Atlanta,GA,472522
Long Beach,CA,470130
Colorado Springs,CO,465101
Raleigh,NC,458880
Miami,FL,453579
Virginia Beach,VA,452602
Omaha,NE,446970
Oakland,CA,420005
Minneapolis,MN,413651
Tulsa,OK,403090
Arlington,TX,392772
New Orleans,LA,391495
