location,total_gyms,total_24hr_gyms,ratio%,city,state,population,total_gyms_per_thousand_people,24 hour gyms per thousand people
"New York,NY",5100,152,2.98,New York,NY,8537673.0,0.5973524636045443,0.01780344597409622
"Los Angeles,CA",6600,185,2.8,Los Angeles,CA,3976322.0,1.659825336076907,0.046525407147610276
"Chicago,IL",2300,114,4.96,Chicago,IL,2704958.0,0.8502904666172266,0.04214483182363645
"Houston,TX",1500,104,6.93,Houston,TX,2303482.0,0.6511880709291412,0.04514903958442046
"Phoenix,AZ",1700,90,5.29,Phoenix,AZ,1615017.0,1.0526204987315924,0.055726967579907825
"Philadelphia,PA",1400,86,6.14,Philadelphia,PA,1567872.0,0.8929300351049065,0.05485141644215854
"San Antonio,TX",533,55,10.32,San Antonio,TX,1492510.0,0.3571165352325948,0.03685067436734092
"San Diego,CA",2400,75,3.12,San Diego,CA,1406630.0,1.7062056119946254,0.053318925374832044
"Dallas,TX",1600,128,8.0,Dallas,TX,1317929.0,1.2140259452519824,0.0971220756201586
"San Jose,CA",1900,49,2.58,San Jose,CA,1025350.0,1.8530257960696348,0.0477885600039011
"Austin,TX",1200,55,4.58,Austin,TX,947890.0,1.2659696800261635,0.05802361033453249
"Jacksonville,FL",341,32,9.38,Jacksonville,FL,880619.0,0.38722762057143895,0.03633807583075087
"San Francisco,CA",2600,37,1.42,San Francisco,CA,870887.0,2.9854619485650837,0.04248542003727234
"Columbus,OH",438,32,7.31,Columbus,OH,860090.0,0.5092490320780384,0.03720540873629504
"Indianapolis,IN",410,51,12.44,Indianapolis,IN,855164.0,0.47944020094391254,0.05963768353204765
"Fort Worth,TX",726,80,11.02,Fort Worth,TX,854113.0,0.8500046246808093,0.09366442145243077
"Charlotte,NC",562,52,9.25,Charlotte,NC,842051.0,0.6674180067478098,0.06175397927203934
"Seattle,WA",1600,44,2.75,Seattle,WA,704352.0,2.271591476988778,0.062468765617191405
"Denver,CO",1600,96,6.0,Denver,CO,693060.0,2.3086024298040573,0.13851614578824345
"El Paso,TX",121,19,15.7,El Paso,TX,683080.0,0.1771388417169292,0.027815190021666568
"Washington,DC",1200,37,3.08,Washington,DC,681170.0,1.761674765477047,0.054318305268875614
"Boston,MA",1300,21,1.62,Boston,MA,673184.0,1.931121357608024,0.031195037315206543
"Detroit,MI",718,69,9.61,Detroit,MI,672795.0,1.0671898572373457,0.10255724254787862
"Nashville,TN",460,48,10.43,Nashville,TN,660388.0,0.6965602040012842,0.07268454302622095
"Memphis,TN",174,16,9.2,Memphis,TN,652717.0,0.2665780116038038,0.024512920607246323
"Portland,OR",1100,54,4.91,Portland,OR,639863.0,1.7191179986965959,0.08439306539056017
"Oklahoma City,OK",237,30,12.66,Oklahoma City,OK,638367.0,0.3712597925644653,0.046994910451198135
"Las Vegas,NV",850,72,8.47,Las Vegas,NV,632912.0,1.3429987107212378,0.11375989079050484
"Louisville,KY",203,28,13.79,Louisville,KY,616261.0,0.32940588484424616,0.04543529446127534
"Baltimore,MD",336,28,8.33,Baltimore,MD,614664.0,0.5466401155753388,0.04555334296461156
"Milwaukee,WI",379,41,10.82,Milwaukee,WI,595047.0,0.6369244782344925,0.06890212033671289
"Albuquerque,NM",248,32,12.9,Albuquerque,NM,559277.0,0.44342964219876735,0.0572167280256474
"Tucson,AZ",306,22,7.19,Tucson,AZ,530706.0,0.5765904285988853,0.04145421382083488
"Fresno,CA",217,15,6.91,Fresno,CA,522053.0,0.41566660856273213,0.02873271487760821
"Sacramento,CA",1000,48,4.8,Sacramento,CA,495234.0,2.0192474668540528,0.09692387840899452
"Mesa,AZ",1500,77,5.13,Mesa,AZ,484587.0,3.0954193983742857,0.15889819578321332
"Kansas City,MO",467,42,8.99,Kansas City,MO,481420.0,0.9700469444559844,0.0872419093515018
"Atlanta,GA",1500,115,7.67,Atlanta,GA,472522.0,3.1744553692738116,0.24337491164432554
"Long Beach,CA",1500,67,4.47,Long Beach,CA,470130.0,3.190606853423521,0.1425137727862506
"Colorado Springs,CO",203,13,6.4,Colorado Springs,CO,465101.0,0.4364643378534985,0.027950918187662464
"Raleigh,NC",574,28,4.88,Raleigh,NC,458880.0,1.2508716875871688,0.06101813110181311
"Miami,FL",1300,47,3.62,Miami,FL,453579.0,2.866093888826423,0.10362031751910912
"Virginia Beach,VA",365,35,9.59,Virginia Beach,VA,452602.0,0.8064480492794994,0.07733063486241776
"Omaha,NE",205,18,8.78,Omaha,NE,446970.0,0.4586437568516903,0.0402711591381972
"Oakland,CA",2500,44,1.76,Oakland,CA,420005.0,5.952310091546529,0.10476065761121892
"Minneapolis,MN",819,100,12.21,Minneapolis,MN,413651.0,1.9799299409405513,0.24174968753852885
"Tulsa,OK",154,22,14.29,Tulsa,OK,403090.0,0.382048673993401,0.054578381999057284
"Arlington,TX",289,40,13.84,Arlington,TX,392772.0,0.7357958306600266,0.1018402533785504
"New Orleans,LA",293,30,10.24,New Orleans,LA,391495.0,0.7484131342673598,0.07662933115365457
