Area,Healthy Weight,Overweight,Obese,No Physical Activity 
Akron-OH Metro Area,38.20%,32.50%,29.30%,22.60%
Albuquerque-NM Metro Area,43.30%,34.90%,21.70%,18.00%
Allentown-Bethlehem-Easton-PA-NJ Metro Area,37.50%,33.50%,29.00%,26.10%
Amarillo-TX Metro Area,35.00%,36.30%,28.70%,24.10%
Arcadia-FL Micropolitan Area,32.20%,33.70%,34.10%,35.10%
Asheville-NC Metro Area,37.30%,35.20%,27.50%,22.20%
Atlanta-Sandy Springs-Marietta-GA Metro Area,37.40%,33.90%,28.70%,22.10%
Atlantic City-NJ Metro Area,30.70%,42.50%,26.80%,27.80%
Augusta-Richmond County-GA-SC Metro Area,31.10%,36.80%,32.10%,25.90%
Augusta-Waterville-ME Micropolitan Area,37.10%,33.40%,29.40%,22.30%
Austin-Round Rock-TX Metro Area,35.90%,37.10%,27.00%,19.30%
Baltimore-Towson-MD Metro Area,33.50%,38.40%,28.00%,24.00%
Bangor-ME Metro Area,31.10%,35.40%,33.50%,24.10%
Barre-VT Micropolitan Area,41.20%,36.90%,21.80%,16.10%
Baton Rouge-LA Metro Area,35.40%,32.20%,32.50%,25.70%
Bethesda-Gaithersburg-Frederick-MD Metro Division,42.80%,37.30%,19.90%,17.30%
Billings-MT Metro Area,35.40%,37.40%,27.20%,24.00%
Birmingham-Hoover-AL Metro Area,33.70%,37.00%,29.30%,29.20%
Bismarck-ND Metro Area,39.40%,36.10%,24.50%,19.40%
Boise City-Nampa-ID Metro Area,38.00%,36.60%,25.30%,16.60%
Boston-Quincy-MA Metro Division,43.20%,34.80%,22.00%,21.50%
Bremerton-Silverdale-WA Metro Area,34.90%,36.30%,28.80%,15.30%
Bridgeport-Stamford-Norwalk-CT Metro Area,45.60%,37.80%,16.60%,18.80%
Buffalo-Cheektowaga-Tonawanda-NY Metro Area,37.90%,37.50%,24.70%,23.90%
Burlington-South Burlington-VT Metro Area,42.30%,36.00%,21.70%,13.60%
Cambridge-Newton-Framingham-MA Metro Division,44.20%,35.20%,20.70%,17.30%
Camden-NJ Metro Division,34.70%,35.80%,29.50%,27.20%
Canton-Massillon-OH Metro Area,35.40%,36.30%,28.30%,26.60%
Cape Coral-Fort Myers-FL Metro Area,40.00%,34.20%,25.80%,27.90%
Casper-WY Metro Area,34.70%,37.70%,27.60%,23.20%
Cedar Rapids-IA Metro Area,41.10%,33.50%,25.40%,25.50%
Charleston-North Charleston-SC Metro Area,34.70%,36.40%,29.00%,25.40%
Charleston-WV Metro Area,30.50%,37.30%,32.30%,31.40%
Charlotte-Gastonia-Concord-NC-SC Metro Area,37.00%,35.00%,28.00%,22.60%
Chattanooga-TN-GA Metro Area,30.90%,38.60%,30.40%,32.20%
Cheyenne-WY Metro Area,33.80%,39.20%,27.00%,23.10%
Chicago-Naperville-Joliet-IL-IN-WI Metro Area,38.80%,34.20%,27.00%,23.30%
Cincinnati-Middletown-OH-KY-IN Metro Area,38.10%,34.40%,27.40%,25.40%
Cleveland-Elyria-Mentor-OH Metro Area,34.40%,40.90%,24.70%,22.70%
Coeur d´Alene-ID Metro Area,35.50%,39.80%,24.70%,18.80%
Colorado Springs-CO Metro Area,38.60%,37.80%,23.60%,19.10%
Columbia-SC Metro Area,32.90%,36.10%,31.00%,27.70%
Columbus-OH Metro Area,34.50%,35.00%,30.50%,26.30%
Concord-NH Micropolitan Area,36.50%,40.90%,22.60%,16.90%
Dallas-Plano-Irving-TX Metro Division,36.40%,29.80%,33.80%,26.40%
Dayton-OH Metro Area,35.00%,35.30%,29.70%,25.20%
Del Rio-TX Micropolitan Area,25.80%,,32.90%,
Deltona-Daytona Beach-Ormond Beach-FL Metro Area,34.80%,38.00%,27.20%,23.70%
Denver-Aurora-CO Metro Area,43.00%,37.40%,19.60%,16.20%
Des Moines-West Des Moines-IA Metro Area,35.10%,38.90%,26.00%,22.30%
Detroit-Livonia-Dearborn-MI Metro Division,32.90%,34.00%,33.10%,28.30%
Dover-DE Metro Area,29.40%,38.80%,31.90%,30.40%
Durham-NC Metro Area,41.10%,32.40%,26.60%,22.00%
Edison-NJ Metro Division,38.50%,37.40%,24.20%,26.00%
El Paso-TX Metro Area,30.20%,41.10%,28.60%,28.50%
Eugene-Springfield-OR Metro Area,39.90%,30.10%,30.00%,18.20%
Evansville-IN-KY Metro Area,37.00%,33.70%,29.30%,27.70%
Fargo-ND-MN Metro Area,37.80%,36.80%,25.40%,26.60%
Farmington-NM Metro Area,35.00%,31.40%,33.70%,22.90%
Fayetteville-Springdale-Rogers-AR-MO Metro Area,38.50%,37.10%,24.40%,26.20%
Fort Collins-Loveland-CO Metro Area,50.20%,28.50%,21.30%,13.10%
Fort Wayne-IN Metro Area,30.90%,36.00%,33.20%,23.40%
Fort Worth-Arlington-TX Metro Division,30.30%,34.40%,35.30%,24.00%
Gainesville-FL Metro Area,43.80%,36.00%,20.10%,19.10%
Grand Island-NE Micropolitan Area,31.20%,39.90%,29.00%,26.20%
Grand Rapids-Wyoming-MI Metro Area,34.80%,38.70%,26.60%,19.30%
Greensboro-High Point-NC Metro Area,32.70%,38.60%,28.70%,23.40%
Greenville-SC Metro Area,32.10%,33.90%,34.00%,26.50%
Hagerstown-Martinsburg-MD-WV Metro Area,34.30%,33.60%,32.10%,27.70%
Hartford-West Hartford-East Hartford-CT Metro Area,38.00%,37.90%,24.20%,19.50%
Hastings-NE Micropolitan Area,33.40%,35.80%,30.80%,26.00%
